Division,Gender,Base Salary
PSB 4th District Patrol,M,71157
PSB 1st District Patrol,F,71157
PSB 3rd District Patrol,M,76227
ISB Family Crimes Division Child Abuse Sexual Assault Section,M,71157
PSB 2nd District Patrol,F,71157
PSB 4th District Patrol,M,71157
PSB 4th District Patrol,M,71157
PSB 4th District Patrol,M,71157
PSB 5th District Patrol,M,84515
PSB 4th District Patrol,M,71157
PSB 1st District Patrol,F,71157
PSB 5th District Educational Facilities Officers,M,71157
PSB 4th District Special Assignment Team,M,71157
PSB 3rd District Educational Facilities Officers,M,71157
PSB 3rd District Patrol,F,71157
PSB 6th District Patrol,F,71157
PSB 3rd District Community Action Team,M,71157
PSB 4th District Patrol,F,71157
PSB 4th District Special Assignment Team,M,71157
PSB 2nd District Patrol,M,71157
FSB Traffic Division Alcohol Initiatives Section,M,71157
PSB 4th District Patrol,M,71157
PSB 5th District Community Action Team,F,71157
PSB 3rd District Patrol,M,73647
PSB 4th District Patrol,F,71157
PSB 2nd District Patrol,M,71157
PSB 4th District Patrol,F,71157
PSB 4th District Patrol,M,71157
PSB 6th District Patrol,F,71157
ISB Criminal Investigations Division 3rd District Investigative Section,F,71157
PSB 6th District Patrol,M,71157
MSB Information Management and Technology Division,F,69177.76
FSB Traffic Division Automated Traffic Enforcement Section,F,51593.71
MSB Communications Division,F,65347.39
MSB Information Mgmt and Tech Division Records Management Section,M,48523.37
PSB 1st District Patrol,M,71157
ISB Criminal Investigations Division Crime Laboratory Section,M,78582.54
MSB Management and Budget Division False Alarm Reduction Unit,M,109761
ISB Criminal Investigations Division 3rd District Investigative Section,F,53399.48
MSB Communications Division,F,72104.78
MSB Communications Division,F,54172.67
MSB Communications Division,M,65549.81
MSB Communications Division,F,65549.81
MSB Information Management and Technology DivisioinCrime Analysis Section,M,64486.9
PSB 2nd District Patrol,M,74715
PSB 3rd District Patrol,M,71157
PSB 6th District Community Action Team,M,76227
FSB Security Services Division,M,67542.95
FSB Security Services Division,M,51593.7
MSB Policy and Planning Division,M,99852
ISB Family Crimes Division Child Abuse Sexual Assault Section,F,71157
PSB 3rd District Patrol,M,71157
PSB 4th District Patrol,F,63260
ISB Family Crimes Division Family Outreach Section,F,71157
PSB 6th District Patrol,F,76227
PSB 2nd District Patrol,F,71157
PSB 1st District Educational Facilities Officers,M,78894
PSB 5th District Patrol,F,71157
PSB 4th District Community Action Team,M,71157
PSB 4th District Community Action Team,M,71157
PSB 4th District Patrol,M,71157
PSB 6th District Patrol,M,71157
PSB 4th District Patrol,M,71157
PSB 3rd District Patrol,M,71157
PSB 6th District Patrol,M,84515
PSB 3rd District Patrol,F,71157
PSB 2nd District Community Action Team,M,68751
PSB 6th District Patrol,F,71157
PSB 2nd District Patrol,M,71157
PSB 2nd District Patrol,M,71157
PSB 5th District Special Assignment Team,M,71157
PSB 4th District Patrol,M,71157
PSB 4th District Patrol,M,78894
ISB Major Crimes Division Homicide and Sex Section,M,84515
PSB 3rd District Patrol,F,73647
PSB 3rd District Patrol,M,71157
PSB 6th District Patrol,M,71157
PSB 4th District Patrol,M,71157
ISB Family Crimes Division Family Outreach Section,M,84515
PSB 4th District Patrol,M,71157
PSB 5th District Patrol,M,71157
PSB 4th District Patrol,F,73647
ISB Family Crimes Division Child Abuse Sexual Assault Section,F,71157
PSB 4th District Patrol,M,71157
PSB 3rd District Patrol,M,68751
PSB 6th District Patrol,M,71157
PSB 5th District Patrol,M,71157
FSB Security Services Division,M,48162.8
PSB 4th District Patrol,M,73647
PSB 2nd District Patrol,M,71157
PSB 1st District Patrol,M,71157
PSB 3rd District Patrol,M,71157
PSB 6th District Patrol,F,71157
FSB Traffic Division School Safety Section,F,20627.67
FSB Traffic Division Automated Traffic Enforcement Section,M,58815.77
FSB Traffic Division School Safety Section,F,21091.79
FSB Traffic Division School Safety Section,F,21091.79
MSB Policy and Planning Division,F,104325.25
MSB Information Management and Technology Division,M,86669
MSB Management and Budget Division Abandoned Vehicle Section,M,55035.33
FSB Animal Services Division,M,64955.24
FSB Traffic Division School Safety Section,F,21092.05
FSB Animal Services Division,F,62428.38
MSB Employee Health and Wellness Division,F,99852
FSB Traffic Division School Safety Section,M,21092.05
PSB 5th District Patrol,M,71157
FSB Animal Services Division,F,75023.3
MSB Communications Division,F,65549.78
FSB Animal Services Division,F,64487.32
MSB Management and Budget Division False Alarm Reduction Unit,M,52303.6
FSB Animal Services Division,F,72798.84
FSB Animal Services Division,M,61589.44
FSB Animal Services Division,F,49526.66
FSB Animal Services Division,F,49526.66
FSB Animal Services Division,M,49526.66
FSB Animal Services Division,F,56883.44
FSB Animal Services Division,F,61589.44
FSB Animal Services Division,M,62923.63
FSB Animal Services Division,F,54479.33
FSB Animal Services Division,M,54905.19
FSB Animal Services Division,F,47548.73
FSB Animal Services Division,M,64487.32
FSB Animal Services Division,F,54479.33
PSB 6th District Patrol,F,59053
MSB Training and Education Division,M,52500
PSB 6th District Community Action Team,M,68751
PSB 4th District Patrol,M,66424
PSB 3rd District Patrol,F,71157
FSB Traffic Division School Safety Section,F,20378.79
ISB Criminal Investigations Division Crime Laboratory Section,F,65421.92
PSB 1st District Patrol,M,71157
MSB Communications Division,F,63333.12
PSB 6th District Patrol,M,68751
MSB Communications Division,M,63333.12
PSB 6th District Patrol,M,71157
PSB 3rd District Patrol,M,68751
PSB 1st District Community Action Team,M,66424
PSB 2nd District Patrol,M,68751
MSB Communications Division,M,63333.12
PSB 2nd District Patrol,M,68751
PSB 2nd District Patrol,M,68751
PSB 6th District Patrol,M,76227
PSB 5th District Patrol,M,68751
PSB 3rd District Patrol,F,68751
PSB 5th District Patrol,M,66424
PSB 5th District Patrol,M,73647
PSB 4th District Patrol,M,68751
PSB 5th District Patrol,M,73647
PSB 4th District Patrol,F,68751
PSB 3rd District Patrol,M,68751
PSB 4th District Patrol,M,73647
PSB 6th District Community Action Team,M,68751
PSB 3rd District Patrol,M,68751
PSB 1st District Patrol,F,68751
PSB 2nd District Patrol,M,73647
PSB 6th District Patrol,M,71157
PSB 2nd District Patrol,M,68751
PSB 6th District Patrol,M,76227
PSB 5th District Patrol,M,68751
FSB Traffic Division Alcohol Initiatives Section,M,68751
FSB Traffic Division Alcohol Initiatives Section,M,68751
PSB 4th District Special Assignment Team,M,68751
PSB 4th District Special Assignment Team,F,68751
PSB 4th District Patrol,M,78894
PSB 4th District Community Action Team,M,68751
ISB Family Crimes Division Child Abuse Sexual Assault Section,M,76227
PSB 5th District Patrol,M,68751
PSB 6th District Patrol,M,68751
PSB 1st District Community Action Team,M,68751
ISB Family Crimes Division Family Outreach Section,M,71157
PSB 5th District Patrol,M,78894
PSB 3rd District Patrol,M,68751
ISB Family Crimes Division Child Abuse Sexual Assault Section,M,68751
PSB 5th District Patrol,M,68751
PSB 3rd District Patrol,F,68751
ISB Criminal Investigations Division 3rd District Investigative Section,F,68751
PSB 6th District Patrol,M,68751
PSB 2nd District Patrol,M,68751
PSB 2nd District Patrol,F,68751
PSB 6th District Patrol,F,68751
PSB 5th District Patrol,M,81657
PSB 2nd District Patrol,M,68751
PSB 3rd District Patrol,M,68751
MSB Management and Budget Division,F,81309.85
MSB Information Management and Technology DivisioinCrime Analysis Section,F,62509.52
FSB Animal Services Division,M,62758.68
FSB Animal Services Division,F,65894.57
FSB Traffic Division School Safety Section,M,20378.79
FSB Animal Services Division,F,47851.85
MSB Communications Division,F,50786.26
ISB Criminal Investigations Division Crime Laboratory Section,F,90177.33
PSB 5th District Patrol,M,68751
ISB Major Crimes Division Homicide and Sex Section,M,78894
PSB 3rd District Patrol,M,68751
FSB Security Services Division,M,56826.84
FSB Animal Services Division,M,47851.85
MSB Personnel Division,F,87357.69
FSB Animal Services Division,F,46882.49
ISB Criminal Investigations Division Crime Laboratory Section,M,144751
FSB Animal Services Division,F,56826.83
FSB Animal Services Division,F,46882.49
FSB Animal Services Division,F,56826.58
PSB 3rd District Patrol,F,84992
FSB Traffic Division School Safety Section,F,20378.8
FSB Animal Services Division,F,46882.49
MSB Communications Division,F,52564.08
MSB Communications Division,M,70675.27
MSB Communications Division,F,63332.39
MSB Communications Division,M,59844.22
MSB Communications Division,F,63137.69
MSB Communications Division,F,66499.02
ISB Criminal Investigations Division Crime Laboratory Section,F,86888.44
PSB 4th District Patrol,M,68751
PSB 5th District Patrol,M,68751
PSB 3rd District Patrol,M,68751
PSB 2nd District Patrol,M,68751
PSB 2nd District Patrol,M,68751
PSB 3rd District Patrol,M,68751
PSB 1st District Patrol,F,68751
PSB 4th District Patrol,M,68751
PSB 2nd District Patrol,M,65476
PSB 2nd District Patrol,M,66424
PSB 4th District Community Action Team,F,68751
PSB 2nd District Patrol,F,68751
PSB 3rd District Patrol,M,68751
PSB 4th District Patrol,M,68751
PSB 3rd District Patrol,M,68751
PSB 1st District Patrol,F,68751
PSB 2nd District Community Action Team,M,68751
PSB 4th District Patrol,M,68751
PSB 3rd District Patrol,F,68751
PSB 2nd District Patrol,M,68751
PSB 4th District Patrol,M,68751
PSB 4th District Patrol,F,68751
PSB 4th District Patrol,M,73647
PSB 4th District Patrol,M,71157
PSB 4th District Patrol,M,76227
PSB 3rd District Patrol,M,68751
PSB 4th District Patrol,M,76227
PSB 3rd District Patrol,M,68751
PSB 1st District Community Action Team,M,81657
PSB 5th District Patrol,F,68751
PSB 3rd District Patrol,M,68751
PSB 5th District Patrol,M,68751
PSB 4th District Patrol,M,68751
PSB 5th District Patrol,M,71157
PSB 3rd District Patrol,M,68751
PSB 4th District Patrol,F,68751
PSB 3rd District Patrol,F,68751
PSB 3rd District Patrol,M,68751
PSB 4th District Patrol,M,81657
HQ Office of the Chief,M,68751
PSB 1st District Patrol,M,68751
PSB 5th District Patrol,M,81657
MSB Information Management and Technology Division,M,63000.36
FSB Security Services Division,M,71599.13
MSB Personnel Division Background Section,M,90848
FSB Traffic Division School Safety Section,F,18024.63
FSB Animal Services Division,F,54327.78
MSB Communications Division,F,54957.85
MSB Communications Division,M,59844.22
MSB Communications Division,F,63332.39
MSB Communications Division,F,63332.39
FSB Animal Services Division,M,162707.55
MSB Policy and Planning Division,M,90848
FSB Animal Services Division,M,60636.56
MSB Communications Division,M,58276.97
FSB Traffic Division Automated Traffic Enforcement Section,M,52979.07
MSB Communications Division,M,58276.97
MSB Communications Division,F,58276.97
PSB 3rd District Patrol,M,63260
ISB Criminal Investigations Division Crime Laboratory Section,F,83947.66
PSB 3rd District Patrol,M,70139
PSB 5th District Educational Facilities Officers,M,75136
PSB 6th District Patrol,M,78894
ISB Criminal Investigations Division Financial Crimes Section,M,78894
PTS ACS Work Crew,M,62358
FSB Traffic Division School Safety Section,F,19689.66
FSB Animal Services Division,M,164917.9
MSB Information Management and Technology Division,F,126584
FSB Traffic Division School Safety Section,M,19689.66
FSB Traffic Division School Safety Section,F,19689.66
HQ Office of the Chief,F,57771.25
FSB Traffic Division School Safety Section,F,19689.66
FSB Traffic Division School Safety Section,F,19689.66
PSB 5th District Patrol,M,75136
PSB 4th District Patrol,M,72595
PSB 4th District Patrol,F,63260
PSB 4th District Patrol,M,63260
PSB 2nd District Patrol,F,63260
PSB 3rd District Patrol,F,63260
PSB 2nd District Traffic Squad,M,75136
PSB 4th District Patrol,M,63260
PSB 3rd District Patrol,M,67768
PSB 5th District Patrol,F,63260
PSB 4th District Patrol,M,70139
PSB 3rd District Patrol,M,63260
PSB 5th District Patrol,M,63260
PSB 2nd District Patrol,F,63260
PSB 4th District Patrol,F,63260
PSB 4th District Patrol,M,63260
PSB 3rd District Patrol,M,60247
PSB 4th District Patrol,M,75136
FSB Animal Services Division,F,60199.18
MSB Communications Division,F,61190.82
MSB Information Mgmt and Tech Division Records Management Section,F,46882.49
MSB Communications Division,M,58276.98
MSB Communications Division,F,61190.83
MSB Communications Division,F,61190.82
MSB Communications Division,M,58276.99
MSB Communications Division,F,53099.49
MSB Communications Division,M,58276.98
